,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2009-12-03,NSE:REFEX,5.99694644,6.24883737,5.94850584,6.06476289,137518.94145211,,
1,2009-12-04,NSE:REFEX,5.81287197,6.67511484,5.81287197,6.67511484,167653.78717525,10.063904575830831,
2,2009-12-07,NSE:REFEX,6.97544636,6.97544636,6.21008469,6.35540649,112896.00106075,-4.789555800361331,10.063904575830831
3,2009-12-08,NSE:REFEX,6.39415917,6.63636216,5.81287197,5.99694644,54824.87859513,-5.640237970049965,-4.789555800361331
4,2009-12-09,NSE:REFEX,6.12289181,6.54916889,6.12289181,6.31665382,41989.57095453,5.331169507660296,-5.640237970049965
5,2009-12-10,NSE:REFEX,6.06476289,6.43291184,6.06476289,6.21008469,10569.64617931,-1.6871136686733859,5.331169507660296
6,2010-02-19,NSE:REFEX,5.21220853,5.21220853,4.88281265,4.92156493,19823.24754626,-20.748827501094848,-1.6871136686733859
7,2010-02-22,NSE:REFEX,5.06688673,5.06688673,4.7568667,4.77624313,13650.73932826,-2.9527559235106873,-20.748827501094848
8,2010-02-23,NSE:REFEX,4.77624313,4.77624313,4.71811441,4.71811441,8319.46759817,-1.2170385471980782,-2.9527559235106873
9,2010-02-24,NSE:REFEX,4.65029758,4.7084261,4.57279262,4.63092134,15493.20206557,-1.8480490811158532,-1.2170385471980782
10,2010-02-25,NSE:REFEX,4.8053073,4.84405997,4.65029758,4.79561937,6895.04262478,3.556485155068503,-1.8480490811158532
11,2010-02-26,NSE:REFEX,4.65029758,4.83437205,4.60185698,4.65029758,21227.02867945,-3.0303028407360793,3.556485155068503
12,2010-03-02,NSE:REFEX,4.69873818,4.82468373,4.68905025,4.68905025,1290.24001212,0.8333374226773685,-3.0303028407360793
13,2010-03-03,NSE:REFEX,4.50497578,4.9021885,4.50497578,4.8053073,8541.38888025,2.479330435838254,0.8333374226773685
14,2010-03-04,NSE:REFEX,4.94094117,4.94094117,4.68905025,4.83437205,14037.8113319,0.6048468533947842,2.479330435838254
15,2010-03-05,NSE:REFEX,4.84405997,4.91187681,4.74717877,4.82468373,6993.10086571,-0.20040493159808687,0.6048468533947842
16,2010-03-08,NSE:REFEX,4.86343621,5.03782237,4.86343621,5.02813445,20752.22035498,4.2168716414495275,-0.20040493159808687
17,2010-03-09,NSE:REFEX,4.89250057,4.89250057,4.77624313,4.81499561,22966.27221579,-4.238924836228259,4.2168716414495275
18,2010-03-10,NSE:REFEX,5.01844613,5.01844613,4.74717877,4.8053073,12809.50284036,-0.20121119072007784,-4.238924836228259
19,2010-03-11,NSE:REFEX,4.65029758,4.84405997,4.34027774,4.63092134,53859.77906606,-3.6290282621467203,-0.20121119072007784
20,2010-03-12,NSE:REFEX,4.84405997,4.84405997,4.5146637,4.71811441,12391.46507643,1.882844980476383,-3.6290282621467203
21,2010-03-15,NSE:REFEX,4.71811441,4.88281265,4.48559954,4.54372845,21882.4706056,-3.6960943471483216,1.882844980476383
22,2010-03-16,NSE:REFEX,4.48559954,4.83437205,4.48559954,4.74717877,16773.1201576,4.477607371100708,-3.6960943471483216
23,2010-03-17,NSE:REFEX,4.77624313,4.92156493,4.67936194,4.74717877,10941.2353028,0.0,4.477607371100708
24,2010-03-18,NSE:REFEX,4.83437205,4.83437205,4.52435202,4.52435202,3710.73027487,-4.693877370032126,0.0
25,2010-03-19,NSE:REFEX,4.52435202,4.65029758,4.49528785,4.5146637,8355.59431851,-0.2141371837817433,-4.693877370032126
26,2010-03-22,NSE:REFEX,4.94094117,4.94094117,4.29183714,4.57279262,30991.56509119,1.2875581408201144,-0.2141371837817433
27,2010-03-23,NSE:REFEX,4.39840665,4.63092134,4.39840665,4.4662231,38469.79620146,-2.3305128584641728,1.2875581408201144
28,2010-03-25,NSE:REFEX,4.68905025,4.68905025,4.35965398,4.3693419,14682.93133796,-2.169197503814788,-2.3305128584641728
29,2010-03-26,NSE:REFEX,4.74717877,4.74717877,4.28214902,4.3693419,32028.91806094,0.0,-2.169197503814788
30,2010-03-29,NSE:REFEX,4.40809458,4.44684725,4.23370842,4.24339654,21005.10739736,-2.882478938075325,0.0
31,2010-03-30,NSE:REFEX,4.35965398,4.38871834,4.21433218,4.29183714,4619.0592434,1.1415525167959006,-2.882478938075325
