,datetime,symbol,open,high,low,close,volume,change (%),last day change (%),rsi_14,stoch_oscillator,cci,adx,awesome_oscillator,momentum,macd,macd_signal,macd_diff,stoch_rsi_fast,williams_r,bull_bear_power,ultimate_oscillator,ema_10,ema_20,ema_30,ema_50,ema_100,ema_200,sma_10,sma_20,sma_30,sma_50,sma_100,sma_200,ichimoku_base_line,vwma_20
0,2019-03-29,NSE:MSTCLTD,115.0,120.0,111.0,113.95,421066.0,,,,,,0.0,,,,,,,,9.0,,113.95,113.95,113.95,113.95,113.95,113.95,,,,,,,,
1,2019-04-01,NSE:MSTCLTD,114.95,115.95,111.0,111.75,59362.0,-1.930671347082056,,,,,0.0,,,,,,,,4.950000000000003,,113.55000000000001,113.74047619047619,113.80806451612904,113.86372549019607,113.90643564356435,113.92810945273632,,,,,,,,
2,2019-04-02,NSE:MSTCLTD,111.0,112.0,108.0,110.75,60099.0,-0.8948545861297539,-1.930671347082056,,,,0.0,,,,,,,,4.0,,113.0409090909091,113.45566893424036,113.61077003121748,113.74161860822761,113.84393196745417,113.8964864731071,,,,,,,,
3,2019-04-03,NSE:MSTCLTD,110.0,110.0,106.5,108.05,51210.0,-2.437923250564337,-0.8948545861297539,,,,0.0,,,,,,,,3.5,,112.13347107438015,112.94084332145556,113.25201067436475,113.5184178784932,113.72920064136596,113.83831247834982,,,,,,,,
4,2019-04-04,NSE:MSTCLTD,106.05,106.05,102.7,103.8,38824.0,-3.933364183248496,-2.437923250564337,,,,0.0,,,,,,,,3.3499999999999943,,110.61829451540194,112.07028681465027,112.64220353408317,113.13730345188563,113.53258280688347,113.73842877209759,,,,,,,,
5,2019-04-05,NSE:MSTCLTD,105.0,106.55,102.0,105.8,30128.0,1.926782273603083,-3.933364183248496,,,,0.0,-7.1522597630539755,,,,,,,4.549999999999997,,109.74224096714704,111.47311664182644,112.2007710480133,112.8495660616156,113.379462355262,113.65943943108171,,,,,,,,
6,2019-04-08,NSE:MSTCLTD,108.9,109.8,103.15,106.95,25493.0,1.0869565217391357,1.926782273603083,,,,0.0,-4.295302013422816,,,,,,,6.6499999999999915,,109.23456079130213,111.04234362831916,111.86201162556084,112.61821052978753,113.25214626901919,113.59267883972767,,,,,,,,
7,2019-04-09,NSE:MSTCLTD,108.0,109.1,104.3,108.5,22655.0,1.449275362318838,1.0869565217391357,,,,0.0,-2.0316027088036117,,,,,,,4.799999999999997,,109.10100428379263,110.80021566371732,111.64510764971821,112.456712077639,113.15804436270197,113.54200541843686,,,,,,,,
8,2019-04-10,NSE:MSTCLTD,107.0,113.9,107.0,113.8,87055.0,4.884792626728108,1.449275362318838,,,,0.0,5.321610365571495,,,,,,,6.900000000000006,,109.95536714128487,111.08590941002996,111.78413296263963,112.50939003537866,113.17075635551976,113.54457252870117,,,,,,,,
9,2019-04-11,NSE:MSTCLTD,115.4,116.0,110.5,111.25,19373.0,-2.2407732864674843,4.884792626728108,,,,0.0,7.177263969171486,,,,,,,5.5,,110.19075493377852,111.10153708526519,111.7496727715016,112.460002190854,113.13272157620254,113.52174096125141,109.46,,,,,,,
10,2019-04-12,NSE:MSTCLTD,114.6,120.5,111.5,112.1,297026.0,0.7640449438202196,-2.2407732864674843,,,,0.0,5.95463137996219,-1.6235190873190068,,,,,,9.0,,110.53789040036423,111.19662879143041,111.77227452817891,112.44588445787933,113.1122716440005,113.50759428502006,109.275,,,,,,,
11,2019-04-15,NSE:MSTCLTD,113.75,113.75,109.5,110.15,75111.0,-1.7395182872435224,0.7640449438202196,,,,0.0,2.9920523609163188,-1.431767337807601,,,,,,4.25,,110.46736487302528,111.09694985891323,111.66761165539319,112.35584977325661,113.05361279956485,113.47418538666166,109.11499999999998,,,,,,,
12,2019-04-16,NSE:MSTCLTD,110.35,111.8,108.0,108.15,66819.0,-1.8157058556513843,-1.7395182872435224,,,,0.0,-0.3225806451612851,-2.347629796839724,,,,,,3.799999999999997,,110.0460258052025,110.81628796758817,111.44066896794848,112.19091448803086,112.9565115560091,113.42120841764016,108.85499999999999,,,,,,,
13,2019-04-18,NSE:MSTCLTD,108.0,109.7,105.0,105.95,28380.0,-2.0342117429496094,-1.8157058556513843,36.39395216238715,21.351351351351365,,0.0,-6.898066783831277,-1.9435446552521929,,,,,-78.64864864864863,4.700000000000003,,109.30129384062023,110.35283197067501,111.08643226033891,111.9461727434022,112.81776875291982,113.34686803537508,108.64500000000001,,,,,,,
14,2019-04-22,NSE:MSTCLTD,105.05,105.65,103.0,103.85,25230.0,-1.9820670127418676,-2.0342117429496094,32.62428493533038,9.99999999999997,,0.0,-6.651685393258432,0.04816955684007433,,,,,-90.00000000000003,2.6500000000000057,,108.31014950596202,109.73351464013454,110.6195656628977,111.62867577307271,112.64018917365408,113.25237183601811,108.65,,,,,,,
15,2019-04-23,NSE:MSTCLTD,103.85,104.3,102.0,102.65,17159.0,-1.1555127587867007,-1.9820670127418676,30.66938092155374,3.5135135135135442,,0.0,-8.429973238180187,-2.977315689981088,,,,0.0,-96.48648648648646,2.299999999999997,,107.28103141396892,109.05889419821698,110.10540013625915,111.27657084079536,112.4423636454629,113.14687559884382,108.335,,,,,,,
16,2019-04-24,NSE:MSTCLTD,103.05,104.1,102.0,102.35,16991.0,-0.2922552362396603,-1.1555127587867007,30.182454121967993,1.8918918918918612,,0.0,-7.0812528370404095,-4.301075268817212,,,,0.0,-98.10810810810813,2.0999999999999943,,106.38448024779275,108.41995189362487,109.60505174037148,110.92650923919554,112.24251486040424,113.03944400084538,107.875,,,,,,,
17,2019-04-25,NSE:MSTCLTD,103.8,103.8,100.5,101.0,20901.0,-1.3190034196384899,-0.2922552362396603,28.026107148435628,2.5,,0.0,-6.611188164586228,-6.912442396313365,,,,0.0,-97.5,3.299999999999997,,105.40548383910316,107.71328980851774,109.04988711196042,110.53723436707023,112.01989080376258,112.9196485381504,107.125,,,,,,,
18,2019-04-26,NSE:MSTCLTD,101.0,113.5,101.0,105.8,131801.0,4.75247524752475,-1.3190034196384899,43.48616251995014,26.49999999999999,,0.0,-0.14157621519585245,-7.029876977152901,,,,100.0,-73.50000000000001,12.5,,105.4772140501753,107.53107173151605,108.84021697570492,110.35146047032237,111.89672464923262,112.84880626413896,106.325,,,,,,,
19,2019-04-30,NSE:MSTCLTD,109.25,109.25,97.949997,106.05,82382.0,0.23629489603024575,4.75247524752475,44.158942624405796,35.92018590862272,-67.86428899334817,0.0,2.118440057775641,-4.674157303370789,,,,100.0,-64.07981409137729,11.300003000000004,,105.58135695014343,107.39001728089546,108.66020297727235,110.182775745996,111.78094792350524,112.78115645056543,105.80499999999999,107.63250000000001,,,,,,111.10845340402457
20,2019-05-02,NSE:MSTCLTD,104.0,106.2,104.0,105.1,35670.0,-0.8958038661008985,0.23629489603024575,42.10755988689877,31.707326158670565,-49.51304301469106,0.0,2.3867510959571248,-6.24442462087422,,,,0.0,-68.29267384132943,2.200000000000003,,105.4938375046628,107.17192039700066,108.43051246260963,109.98345120693733,111.64865192501998,112.70472703314687,105.10499999999999,107.18999999999998,,,,,,109.55944799628477
