,datetime,symbol,open,high,low,close,volume,change (%),last day change (%),rsi_14,stoch_oscillator,cci,adx,awesome_oscillator,momentum,macd,macd_signal,macd_diff,stoch_rsi_fast,williams_r,bull_bear_power,ultimate_oscillator,ema_10,ema_20,ema_30,ema_50,ema_100,ema_200,sma_10,sma_20,sma_30,sma_50,sma_100,sma_200,ichimoku_base_line,vwma_20
0,2017-07-28,NSE:MAGADSUGAR,214.21406497,214.21406497,203.53551848,203.53551848,7830.20780772,,,,,,0.0,,,,,,,,10.678546490000002,,203.53551848,203.53551848,203.53551848,203.53551848,203.53551848,203.53551848,,,,,,,,
1,2017-07-31,NSE:MAGADSUGAR,193.39266431,193.39266431,193.39266431,193.39266431,487.2004858,-4.983333742310283,,,,,0.0,,,,,,,,0.0,,201.6913631763636,202.56953236857143,202.88114079161292,203.1377594929412,203.33466988257427,203.43459455791046,,,,,,,,
2,2017-08-01,NSE:MAGADSUGAR,183.74981678,183.74981678,183.74981678,183.74981678,3908.80389758,-4.986149585561797,-4.983333742310283,,,,0.0,,,,,,,,0.0,,198.4292638315702,200.7771785029932,201.64686182312178,202.37744801400234,202.94685100925597,203.23872612230937,,,,,,,,
3,2017-08-02,NSE:MAGADSUGAR,174.57124736,192.9283862,174.57124736,192.2855297,151992.55155603,4.645290574749062,-4.986149585561797,,,,0.0,,,,,,,,18.357138840000005,,197.3122212621938,199.96845004556528,201.04290491195266,201.98168651149246,202.73573573580535,203.12973909323168,,,,,,,,
4,2017-08-03,NSE:MAGADSUGAR,194.96409845,201.89264869,192.14266555,201.28550644,88016.68776391,4.680527314791485,4.645290574749062,,,,0.0,,,,,,,,9.749983139999983,,198.03463674906763,200.0938839878924,201.05855662343959,201.95438533221824,202.7070183240072,203.1113885195677,,,,,,,,
5,2017-08-04,NSE:MAGADSUGAR,204.99979559,207.14265059,191.2498093,192.6783793,71855.07164871,-4.276078934955838,4.680527314791485,,,,0.0,-5.334272495081429,,,,,,,15.892841289999978,,197.06077175832803,199.38764544618837,200.51790002192737,201.5906203897783,202.50843141264073,203.00757748255708,,,,,,,,
6,2017-08-07,NSE:MAGADSUGAR,192.85695055,202.28551972,192.85695055,202.28551972,61567.86139104,4.986101946104551,-4.276078934955838,,,,0.0,4.598341639135366,,,,,,,9.428569170000003,,198.01072593317747,199.66363347226567,200.6319400024482,201.61787134390465,202.50401731971715,203.0003928282033,,,,,,,,
7,2017-08-08,NSE:MAGADSUGAR,209.57121246,212.3926525,192.17837266,194.10694931,94987.29471449,-4.043082481297041,4.986101946104551,,,,0.0,5.636540330486636,,,,,,,20.21427983999999,,197.300948365327,199.1344254568118,200.21097286099993,201.32332538179074,202.3377387452673,202.91190085289782,,,,,,,,
8,2017-08-09,NSE:MAGADSUGAR,185.82123614,187.85695554,184.42839467,184.42839467,49281.44913991,-4.986196874663568,-4.043082481297041,,,,0.0,-4.086181129832581,,,,,,,3.4285608700000125,,194.9604840570857,197.73385109616308,199.19274200996767,200.6607790793676,201.98309826852932,202.7279853684909,,,,,,,,
9,2017-08-10,NSE:MAGADSUGAR,184.28553053,184.28553053,175.214111,175.214111,56620.25645764,-4.996130713216486,-4.986196874663568,,,,0.0,-12.952445459738787,,,,,,,9.071419529999986,,191.37023441034282,195.58911394414756,197.6457335577117,199.66287052723553,201.45301931271686,202.45421547427708,192.296238971,,,,,,,
10,2017-08-11,NSE:MAGADSUGAR,167.14269048,177.85696551,166.46411973,166.71411234,58916.25874705,-4.851206681635356,-4.996130713216486,,,,0.0,-13.475443925949598,-18.090899522098976,,,,,,11.392845780000016,,186.88730312482593,192.83911379137157,195.6501450920529,198.37076236303022,200.76512016474229,202.09859255751812,188.614098357,,,,,,,
11,2017-08-14,NSE:MAGADSUGAR,169.99983049,174.2855405,158.3926992,158.3926992,81599.08136473,-4.9914269543235505,-4.851206681635356,,,,0.0,-21.69844909351675,-18.097876274095157,,,,,,15.892841299999986,,181.70646604758485,189.5585028779076,193.24643890546884,196.8029951801663,199.9260623238563,201.66370804649804,185.114101846,,,,,,,
12,2017-08-16,NSE:MAGADSUGAR,150.49984993,150.49984993,150.49984993,150.49984993,16465.41641813,-4.983089062731244,-4.9914269543235505,,,,0.0,-22.465501382105046,-18.095238097466794,,,,,,0.0,,176.03253584438758,185.83863116858308,190.4885944554386,194.98718556251274,198.94732544477006,201.15461493091098,181.789105161,,,,,,,
13,2017-08-17,NSE:MAGADSUGAR,142.99985741,149.96413618,142.99985741,142.99985741,112611.91228849,-4.983388703369722,-4.983089062731244,19.161204824939944,0.0,,0.0,-22.46320981870963,-25.6315035077754,,,,,-100.0,6.964278769999993,,170.02659431086258,181.75874795347994,187.42480496863612,192.9484668114338,197.8394547906162,200.57596062722035,176.860537932,,,,,,,
14,2017-08-18,NSE:MAGADSUGAR,137.21415604,141.39271616,135.85700739,135.85700739,33790.43369339,-4.995004994669664,-4.983388703369722,17.382730381447615,0.0,,0.0,-22.462291070837324,-32.50532053061813,,,,,-100.0,5.535708769999985,,163.813942143433,177.3871536141009,184.09785028614348,190.70958604980896,196.6120795945644,199.93199094326792,170.317688027,,,,,,,
15,2017-08-21,NSE:MAGADSUGAR,129.10701412,134.85700839,129.10701412,130.21415587,43486.84336195,-4.153522610579265,-4.995004994669664,16.11055471413468,1.3293309285192165,,0.0,-21.89374130221278,-32.41890639569023,,,,0.0,-98.67066907148079,5.749994270000002,,157.7048900937179,172.89448716228176,180.62148290445683,188.33721623883608,195.29726922378094,199.23828114154387,164.07126568400002,,,,,,,
16,2017-08-22,NSE:MAGADSUGAR,128.74987162,134.07129489,128.74987162,132.28558238,26808.62673163,1.5907844244430691,-4.153522610579265,18.469430947541767,4.227155915670221,,0.0,-16.48252536377006,-34.60452208190318,,,,100.0,-95.77284408432979,5.321423269999997,,153.08319778213283,169.02697242111208,177.5030377093306,186.13911295025426,194.04951304865656,198.5720851339663,157.07127195,,,,,,,
17,2017-08-23,NSE:MAGADSUGAR,132.49986788,136.39272114,130.07130602,131.39272613,5520.20550435,-0.6749460023808184,1.5907844244430691,18.231464306771315,3.1596923036210827,,0.0,-12.695775981761479,-32.30910763521494,,,,89.91186407322692,-96.84030769637891,6.321415119999983,,149.13947566356322,165.4427584886252,174.5281788977609,183.9921958200482,192.8087845948218,197.90363380059352,150.799849632,,,,,,,
18,2017-08-24,NSE:MAGADSUGAR,126.78558786,134.10700914,126.24987411,129.67844212,8850.80882539,-1.3047023686104868,-0.6749460023808184,17.758365905962165,3.980099172652198,,0.0,-9.315684316947042,-29.686292421492233,,,,0.0,-96.01990082734781,7.857135030000009,,145.6011059283699,162.0366331201847,171.63464749274408,181.86224469455615,191.55867880324118,197.2247761719309,145.324854377,,,,,,,
19,2017-08-28,NSE:MAGADSUGAR,127.92845101,131.85701852,123.21416285,123.46416975,49032.24889143,-4.792062788855474,-1.3047023686104868,16.1248689972155,0.28034439805070466,-106.71441032507367,0.0,-9.121971606826522,-29.535258863939333,,,,0.0,-99.7196556019493,8.642855670000003,,141.57620844139353,158.3630651801671,168.52687473514771,179.57212410849513,190.21027268337502,196.49083978962312,140.149860252,166.22304961150002,,,,,,172.98750462220295
20,2017-08-29,NSE:MAGADSUGAR,123.46416975,125.67844611,117.32131159,118.46417473,40895.44077799,-4.049753892262334,-4.792062788855474,14.9345295299876,1.2021110978984748,-108.45381777808697,0.0,-9.023582007267068,-28.94172360861578,,,,0.0,-98.79788890210153,8.357134520000002,,137.37402049386742,154.56317085157977,165.2970231219124,177.17573393678944,188.7895578724171,195.71445506266173,135.32486649100002,161.96948242399998,,,,,,170.70296500193191
21,2017-08-30,NSE:MAGADSUGAR,118.57131034,124.357026,114.28560033,123.78559086,27519.82744079,4.492004559292643,-4.049753892262334,21.570386921402374,12.912621363142623,-96.19718365484658,0.0,-6.425485957784234,-21.84892896881702,,,,100.00000000000001,-87.08737863685738,10.07142567000001,,134.90339692407332,151.6319727571436,162.61886620178902,175.08200283573888,187.50235060484448,194.99874497109295,131.864155657,158.4891287515,,,,,,169.42578313681605
22,2017-08-31,NSE:MAGADSUGAR,126.28558836,129.96415612,124.42844736,129.96415612,30528.43044075,4.991344482887266,4.492004559292643,28.54063138910915,22.39795917682218,-70.8823752929641,0.0,-1.0872519751105245,-13.644992881754694,,,,100.0,-77.60204082317782,5.535708760000006,,134.00535314151452,149.56837117265374,160.51211071264134,173.31267551355302,186.3629804170258,194.35163463426613,129.810586276,155.7998457185,,,,,,168.23964593110207
23,2017-09-01,NSE:MAGADSUGAR,134.96415114,136.42843539,134.96415114,136.42843539,25214.02514161,4.973893928131475,4.991344482887266,35.04489838120621,34.83146066991542,-46.86470408826964,0.0,5.2051776375858925,-4.5954045962149745,,,,99.99999999999999,-65.16853933008458,1.4642842499999915,,134.44591355033006,148.3169487171629,158.95832520795483,171.86623472439408,185.37417754520348,193.77528439302966,129.153444074,153.006991003,,,,,,164.57515074173645
24,2017-09-04,NSE:MAGADSUGAR,143.24985716,143.24985716,143.24985716,143.24985716,13069.01303148,5.000000000366493,4.973893928131475,41.13387249909414,48.27380952036708,-23.172431907146876,0.0,16.025448881293762,5.441640377649126,,,,100.0,-51.726190479632926,0.0,,136.04663057027005,147.83436856886166,157.94487565647387,170.74402383951588,184.54003258708065,193.27254382354678,129.892729051,150.105208539,,,,,,160.987958443809
25,2017-09-05,NSE:MAGADSUGAR,150.39270718,150.39270718,145.71414042,150.39270718,70940.87073713,4.986287708491002,5.000000000366493,46.76164814102551,99.70414201265126,-0.4487955941548918,0.0,26.952057466124728,15.496434450756148,-13.944254573040553,,,100.00000000000001,-0.29585798734873786,4.678566759999995,,138.6550081356755,148.07801986516054,157.45763898057234,169.9459329901231,183.8638479255543,192.84587878231747,131.910584182,147.990924933,,,,,164.24983265,157.18539065054586
26,2017-09-06,NSE:MAGADSUGAR,157.8926997,157.8926997,150.71413543,156.64270095,79969.47973981,4.155782475888007,4.986287708491002,51.161391336692915,97.13349714138529,31.20044457821499,0.0,26.543566065909076,18.412526997864674,-11.586632821291147,,,100.0,-2.8665028586147,7.17856427000001,,141.92549773827994,148.8937037780024,157.40506233343865,169.42423761600062,183.32481531217698,192.4856481571203,134.346296039,145.7087839945,,,,,163.339126415,154.21453566104108
27,2017-09-07,NSE:MAGADSUGAR,162.10698122,162.10698122,148.82128732,150.96414233,88845.48859033,-3.6251664364575795,4.155782475888007,47.333867295222845,76.69904406225521,41.79466686601554,40.573800993630286,16.15829074488048,14.895357434502138,-10.060442303751955,,,13.005739852290027,-23.30095593774479,13.285693899999984,,143.56888766404722,149.09088840200218,156.98951910741036,168.70031231066727,182.6840099065893,192.07249884540767,136.30343765900002,143.5516436455,,,,,163.339126415,149.50846489861874
28,2017-09-08,NSE:MAGADSUGAR,143.60699966,147.85699542,143.42842841,145.64270478,55503.05534365,-3.524967894937323,-3.6251664364575795,44.01100455499249,65.57130694767774,16.165858196276915,38.07906190801736,6.753921470740103,12.310652718381071,-9.17456221788791,,,0.0,-34.42869305232225,4.428567009999995,59.042578976020934,143.94594532149318,148.76248996181147,156.2574665701581,167.79609240750383,181.95051871596377,191.61051084475685,137.899863925,141.61235915100002,,,,,163.339126415,147.35794248408789
29,2017-09-11,NSE:MAGADSUGAR,144.99985542,150.64269979,142.92843605,145.67842617,38162.63805304,0.024526727963443667,-3.524967894937323,44.039403800969474,65.6460044769736,32.24594005829111,35.497427018851155,1.6953378231207932,17.992472200624018,-8.373093638388866,,,0.8546620248002202,-34.35399552302639,7.714263740000007,55.00880709989254,144.2609418394035,148.46876960068658,155.57494783466404,166.92873294720957,181.23225945762786,191.15347517635132,140.121289567,140.1355749095,157.52246293000002,,,,163.339126415,145.39220483228127
30,2017-09-12,NSE:MAGADSUGAR,149.21412979,149.21412979,144.28557041,145.07129106,29195.62911178,-0.41676391347851527,0.024526727963443667,43.63429305833344,64.37641522902497,42.48297066043893,33.10019462176826,-3.5383471843691088,22.460052915273447,-7.698174975039024,,,0.0,-35.62358477097503,4.928559379999996,49.529373317975164,144.40827806133012,148.1452002158593,154.8972925588793,166.07157836339744,180.51620067747683,190.69494598116376,142.7820012,139.0534338455,155.57365534933334,,,,163.339126415,143.74435537445996
31,2017-09-13,NSE:MAGADSUGAR,148.57128043,152.32127669,145.71414042,152.32127669,22779.422714,4.997532990177552,-0.41676391347851527,49.59677571434431,79.53696788365576,77.7819459567797,30.914087674202296,-2.7587779282351645,23.052510095681093,-6.503317624721717,,,100.0,-20.463032116344234,6.607136269999984,50.812419005740104,145.84700508472463,148.54292178482507,154.73109798669353,165.53235084679363,179.95788535099214,190.3131184260278,145.635569783,138.74986272,154.2046090953333,,,,163.339126415,141.9348072252528
32,2017-09-14,NSE:MAGADSUGAR,159.92840482,159.92840482,159.92840482,159.92840482,15943.21589743,4.9941336465304325,4.997532990177552,54.97826706729593,95.44434652564463,136.43185266222076,29.60024745344279,5.938007762402667,23.05577906598574,-4.886227512254067,,,100.0,-4.555653474355364,0.0,52.126299141875656,148.4072595820474,149.62725350246077,155.06640810497137,165.31258825750763,179.56126197414082,190.01078296726138,148.631994653,139.2212904645,153.41056203000002,,,,163.339126415,142.11296111035213
33,2017-09-15,NSE:MAGADSUGAR,166.96411923,167.89268973,157.85698545,167.89268973,97343.49706393,4.979906426856339,4.9941336465304325,59.81566538407102,100.0,146.72320659896414,29.029390041639054,15.277102264483226,23.06282722517118,-2.9282654938563155,-7.628248445161179,4.699982951304864,100.0,-0.0,10.035704280000004,57.47189926179483,151.95006506349333,151.3668188574645,155.89391014529582,165.4137687074093,179.3302011376232,189.7907024375374,151.778420087,140.4659320805,152.5974673643333,,,,151.071277935,144.38151794532976
34,2017-09-18,NSE:MAGADSUGAR,173.5712555,176.28553851,170.67840124,176.28553851,92933.49266659,4.998936400088138,4.979906426856339,64.18308671495092,100.0,173.76820674190145,29.089842229238723,21.010051484413296,23.061580657006502,-0.6913641181445769,-6.240871579757859,5.549507461613282,100.0,-0.0,5.60713727000001,68.908130299656,156.3746965992218,153.74003025294408,157.20949907205096,165.84011262123641,179.26991078856133,189.6563226969649,155.081988222,142.4873586365,151.76413510000003,,,,149.28556543,147.87926040509308
35,2017-09-19,NSE:MAGADSUGAR,182.14267552,185.07125117,178.57125051,185.07125117,48948.24880767,4.983796591744604,4.998936400088138,68.09251430140216,100.0,188.43364111794972,29.678215591792497,27.57262296194527,23.058660649345462,1.7699273042864831,-4.638711802948991,6.408639107235474,100.0,-0.0,6.500000660000012,75.58681697166116,161.59225197572692,156.72395605456845,159.00703146546704,166.59427491726638,179.38478881591655,189.61070009470657,158.54984262099998,145.2302134015,151.5105641623333,,,,149.67842575,150.68037254104001
36,2017-09-20,NSE:MAGADSUGAR,191.42838055,192.85695055,178.57125051,180.89267677,43877.44375143,-2.257819285050226,4.983796591744604,64.48726891658016,79.3337446073935,166.57192575993653,30.6367315204399,18.757327079228553,15.481076151604753,3.3447858477377395,-3.042012272811645,6.3867981205493844,7.780735028407701,-20.6662553926065,14.285700039999995,67.67410099004873,165.10142012014018,159.02573897984763,160.4190085818885,167.15499655855004,179.41464798332413,189.52395359396326,160.974840203,147.660568121,150.79746939733334,,,,153.57127544,152.91233730265557
37,2017-09-21,NSE:MAGADSUGAR,174.9998255,189.28552554,174.9998255,186.71409239,59875.2597033,3.218159918879275,-2.257819285050226,67.10067890068066,87.69669351969203,141.51126806554967,31.0821109234405,16.748549202468055,23.681087116603106,5.004918592518777,-1.4326260997455604,6.437544692264337,72.48910143822378,-12.303306480307965,14.285700040000023,71.49470392667233,169.0309968964783,161.66272501890978,162.11546560176666,167.92201992448926,179.55919143692165,189.49599477601336,164.54983520899998,150.42663643400002,150.55104083333333,,,,153.57127544,154.9917272707811
38,2017-09-22,NSE:MAGADSUGAR,179.99982052,183.35696717,177.3926874,178.35696501,20934.2208741,-4.475895350493411,3.218159918879275,60.246316386984155,70.95850800848484,109.39384115052268,31.49567751194106,6.232716443359353,22.461997172749847,5.58189085407065,-0.029722708982318435,5.611613563052969,0.0,-29.041491991515155,5.96427976999999,63.684246923381934,170.72662746257316,163.25265263710884,163.1633042732656,168.33123345725437,179.53538497302222,189.38515865893862,167.821261232,152.8605625785,150.34865984466668,,,,153.57127544,155.76774294618673
39,2017-09-25,NSE:MAGADSUGAR,171.42840049,171.42840049,169.46411674,169.46411674,21714.02165166,-4.985983176772156,-4.475895350493411,53.93292551384858,53.14734667301191,63.37651378255271,30.89493153417879,-3.8695299839430946,16.32753125863895,5.260922355354097,1.0284063038849647,4.2325160514691325,0.0,-46.85265332698809,1.9642837499999928,55.53458251489809,170.49708005846895,163.844220646908,163.5698083033775,168.37566025265616,179.335953918903,189.18693933636212,170.199830289,155.160559928,150.15699336933332,,,,153.57127544,157.67475906300584
40,2017-09-26,NSE:MAGADSUGAR,170.21411599,170.21411599,160.99983232,160.99983232,38306.83819682,-4.994735512643261,-4.985983176772156,48.70162486425156,36.194540236121,31.606758382101223,29.424626212450846,-13.006568388025242,10.97980251200227,4.274284206270153,1.6775818843620023,2.5967023219081504,0.0,-63.805459763879,9.214283670000015,46.460972629137004,168.77030774238366,163.57332652053583,163.40400340122412,168.08641209843435,178.97286240209303,188.90647060983116,171.792684415,157.2873428075,149.96651736866667,,,,153.57127544,159.5907656456909
41,2017-09-27,NSE:MAGADSUGAR,166.78554798,167.64268998,152.96412605,153.46413983,33236.03314058,-4.680559216373725,-4.994735512643261,44.5578379531478,21.101576695216927,-3.606087435125892,27.342266568963595,-15.162878580692702,0.7502977685290323,2.851429455434868,1.9123513985765754,0.9390780568582926,0.0,-78.89842330478307,14.678563929999996,38.11099300494535,165.98736812195025,162.6105468357229,162.7627218805,167.51298965653496,178.46773918284367,188.55381060207168,171.906970729,158.77127025599998,149.8022320563333,,,,153.57127544,160.68550245150837
42,2017-09-28,NSE:MAGADSUGAR,146.42842542,159.99984046,146.42842542,153.71413244,26447.42637147,0.16289969127440587,-4.680559216373725,44.72585937230853,21.602277772554192,-35.83945716608503,25.960806266118198,-17.674059588962987,-3.88565895282592,1.7241047226102921,1.874702063383319,-0.15059734077302678,4.0547794267724155,-78.39772222744581,13.571415040000005,36.79118745457372,163.75587072523203,161.76326927422545,162.17894191659678,166.97185800098455,177.9775687522923,188.20714713777247,171.285543491,159.95876907200002,149.90937480666665,,,,153.57127544,161.55311720557015
43,2017-09-29,NSE:MAGADSUGAR,149.99985043,161.39269621,149.99985043,155.49984495,33049.83295491,1.1617100403549756,0.16289969127440587,45.985095448642156,23.0882353099222,-30.98059261601038,24.543182179849715,-12.815378451140644,-7.381408207784265,0.9636751780598445,1.692496686318624,-0.7288215082587794,100.0,-76.9117646900778,11.392845779999988,39.87649716211582,162.2547751297353,161.16675267191826,161.74803243488086,166.52197513624006,177.53246531066276,187.8817013448593,170.046259013,160.91233955,150.326041058,,,,153.57127544,162.03650408976694
44,2017-10-03,NSE:MAGADSUGAR,151.21413493,160.71412546,151.21413493,157.60697856,28138.62805781,1.355071196808918,1.1617100403549756,47.50483674777853,25.227257575873285,-31.153938219641788,23.226816956886125,-6.996842994314727,-10.59562804066339,0.5250054219811773,1.4589984334511348,-0.9339930114699575,100.0,-74.7727424241267,9.499990529999991,37.72960731266018,161.40972120796525,160.82772656602128,161.48086766875952,166.1723674273679,177.13790121659022,187.58046032212437,168.178403018,161.63019562,151.051040097,,,,153.57127544,162.13169441881737
45,2017-10-04,NSE:MAGADSUGAR,151.64270594,157.85698545,151.07127793,157.14270045,9459.80943264,-0.2945796653434563,1.355071196808918,47.189790062435634,23.0769230769231,-41.08315878261722,22.01839173700539,-2.3957365758826583,-15.090701847768786,0.13829889295109865,1.1948585253511277,-1.056559632400029,79.26971613379654,-76.92307692307689,6.785707519999988,42.26783931117785,160.63389925197157,160.47677169782878,161.2009859127105,165.81826284002014,176.74195664695475,187.27759703981468,165.385547946,161.9676952835,151.94865824966666,,,,153.57127544,163.1256545286626
